,Tweet_lemmatized
145,entscheidend Ursache Frauentötung liegen sagen danken Frau Merkel
146,danken Merkel
147,Boooaaahhhh danken Merkel
148,danken Frau Merkel
149,bohl eben wissen Droetkerwelt geben unbedingt danken Merkel
150,Forum wissen genau Schreibweise mehr deshalb Schreibweise dürfen mehr sagen danken Merkel
151,danken Frau Merkel
152,danken Frau Merkel
153,danken Merkel
154,Zensur brutal sogar Twitter Sekundenwerbespot Gettr hochladen dürfen danken Merkel
155,deswegen sagen danken Merkel
156,danken Scholz einfach selber Bums danken Merkel schaden
157,Zensur brutal sogar Twitter Sekundenwerbespot Gettr hochladen dürfen danken Merkel
158,Zensur brutal sogar Twitter Sekundenwerbespot Gettr hochladen dürfen danken Merkel elf Reitschuster
159,warten seit Stunde Essen Lieferando danken Merkel
160,danken Frau Merkel
161,heute hübsch jung Mädchen Abiabschluss coachen leidenschaftlich Lastenrad rummachen kommen Polizei wegen Verführung minderjährig Festgenommen G wohl toll Idee danken Merkel
162,Bjorn danken sinnvoll Einwand Mensch meistens grundverschieden nehmen mal beide Banalität Nachdenken Merkel übrigens explizit Beschränkung Kanzlerschaft ausgesprochen sagen
163,danken Merkel
164,Au danken Merkel
165,Neuvertrag Region Cent Kwh Strom Gas Steigerung Sommer Cent Kwh Cent Kwh Gas danken Angela Merkel Niewiedercdu
166,danken Merkel
167,genau danken Merkel
168,Einzelfall knapp ckwh danken Merkel danken Gruenen
169,Nahori Merkel gibts mehr finden Slogan danken Ampel gut xd
170,Harfreisbarthler Bundesverfassungsgericht werden Greatreset kapern danken Merkel
171,danken Merkel
172,Politiker gerade Deutschland ausversehen rund danken Merkel dafür bestimmen
173,Ausost berichten darüber na ja Wunder ja tot danken Merkel
174,danken Merkel
175,sk danken Merkel
176,sk Velazquez E eben warum bereiten Staat ordentlich Spaziergang danken Merkel
177,Harfreisbarthler Bundesverfassungsgericht werden Greatreset kapern danken Merkel
178,danken Schroeder ex Kanzler sitzen Aufsichtsrat Grössten Gasunternehmen Welt Konzern fürstlich bezahlen machen Lobbyarbeit Brdeuropa mal nachmachen dagegen verblassen sogar J Merkelregierung Typ echt Fuchs
179,richtig Merkel weniger Kind Covid Erkrankt danken Ampel danken Fdp
180,fallen Ein danken Merkel dafür Geld
181,Harfreisbarthler Bundesverfassungsgericht werden Greatreset kapern danken Merkel
182,danken Merkel
183,gewiß Schlaganfall Impfung Schuld danken Merkel
184,Kater Arbeit fahren danken Merkel
185,Hallo Angela Merkel wissen Rente brauchen bitte geben G danken
186,Hallo Angela Merkel wissen Rente brauchen bitte geben G danken
187,danken Merkel
188,danken Hinweis wobei Nazibeschuldigung Stgb stellen Naziverbrechen
189,danken Merkel äh Olaf
190,Les Atlantistes Nauront Pas Leur Guerre Portée Chez Les Autre Et Tant Espérée par Les Analphabètes Politiques Fallait Choisir Lukraine Dans Lotanne ou La Russie Et Le Butane Grâce à Merkel danken Mutti Cest La Seconde Option Choisie
191,wem Vorschlag kommen ja eigentlich egal Gespräch Davidmcallister Daz
192,danken Merkel Faeser Enters The Room
193,wem Vorschlag kommen ja eigentlich egal Gespräch Davidmcallister äußern möchten danken Demoderator Merkel Scholz Putin
194,sagen mittlerweile schon danken Scholz danken Merkel ja falsch echaufieren
195,Frau Merkel Deutschland Gnadenstoß geben nein danken Jahr Talfahrt genügen
196,Harfreisbarthler Bundesverfassungsgericht werden Greatreset kapern danken Merkel
197,Zensur danken Merkel
198,Covid machen Trennung eigen ex Mann verarbeiten danken äh Merkel
199,Wait Youre Telling me That i need to Get Every Dragon stylen Upgrade to Get The Last Battle with Majima danken Merkel
200,heute Böllern danken Merkel
201,Dudek dank Merkel werden Natoperspektive Georgien Ukraine Natogipfel Bucharest Jahr ausschließen paar Monat spät Griff Russland zuerst Georgien danach Ukraine danken Merkel
202,danken Merkel
203,danken Hinweis wobei Nazibeschuldigung Stgb stellen Naziverbrechen Generation relativieren vd Politik benutzen nazivergleich bewirken it tr gr schon Merkel Nazi karikieren gr
204,erben einfach mehr Moment danken Merkel
205,danken Merkel
206,danken Merkeldanke Redingdanke Deuschland Pomozite Domovini Hrvata Dovršiti Oluju Kako Valja
207,Dit is Deutschland danken Merkel
208,verdient Applaus Bundesversammlung Bundeskanzlerin Angela Merkel danken Frau Präsidentin
209,möchten Angela Merkel Kraft Umsicht danken Deutschland letzter Jahr wahren
210,erst Tag Amt danken Groko Merkel immer hervorragend laufen
